iter	MultiClass
0	1.310135284
1	1.244943668
2	1.188605671
3	1.138596399
4	1.0970321
5	1.060478707
6	1.025527007
7	0.9909367835
8	0.9629950155
9	0.9367985877
10	0.9087033968
11	0.8860736783
12	0.8666510161
13	0.8468199556
14	0.8292296159
15	0.8137191061
16	0.7941966943
17	0.7800763835
18	0.766857604
19	0.753783248
20	0.740279995
21	0.727611792
22	0.7152055685
23	0.7071001319
24	0.6940609082
25	0.6851102727
26	0.6752835518
27	0.6666166
28	0.6559885694
29	0.64744766
30	0.6422232538
31	0.6348896618
32	0.627880126
33	0.6199480896
34	0.6136086816
35	0.6071765626
36	0.6005058948
37	0.595236574
38	0.5871382626
39	0.5809111475
40	0.5750527486
41	0.5698165585
42	0.5664781411
43	0.5609202086
44	0.5558397717
45	0.5512044298
46	0.5465988428
47	0.5423202541
48	0.5372789749
49	0.5323203049
50	0.5277338212
51	0.5236885439
52	0.5193383427
53	0.5155196661
54	0.5134541413
55	0.5104552269
56	0.5072521298
57	0.5049180233
58	0.5014872666
59	0.4974537502
60	0.4936843199
61	0.4901029235
62	0.4867517294
63	0.483478108
64	0.4802308687
65	0.4765516629
66	0.4739366517
67	0.4707905397
68	0.4682087088
69	0.465580765
70	0.4623209086
71	0.459926096
72	0.4578883707
73	0.4539978357
74	0.4514334699
75	0.4491951467
76	0.4468153153
77	0.4436847508
78	0.4413328544
79	0.4385095258
80	0.436268415
81	0.4342483716
82	0.4319638964
83	0.429901503
84	0.4269097982
85	0.4246645177
86	0.4225677714
87	0.4199781906
88	0.4175636851
89	0.4157572251
90	0.4132613603
91	0.4112152324
92	0.4090045447
93	0.4066394567
94	0.404954554
95	0.4026927918
96	0.4001920206
97	0.39801928
98	0.3957624279
99	0.3940693828
100	0.392841612
101	0.3906139126
102	0.388671554
103	0.3871893423
104	0.3856243688
105	0.3831556481
106	0.3803826805
107	0.3789313161
108	0.3771968712
109	0.3756585834
110	0.3736081074
111	0.3719735519
112	0.3699468777
113	0.3684345686
114	0.3670352955
115	0.3652928785
116	0.3637484651
117	0.3620582405
118	0.3608438836
119	0.3592041046
120	0.3571749134
121	0.3562096873
122	0.3546034166
123	0.3531558812
124	0.3520008604
125	0.3500240025
126	0.3481517957
127	0.346954634
128	0.3450633674
129	0.3435572653
130	0.3420723092
131	0.3405589839
132	0.3389021158
133	0.337108835
134	0.3352273595
135	0.3337488249
136	0.3324614218
137	0.3313907903
138	0.3304328797
139	0.3289713148
140	0.3271041168
141	0.3260272889
142	0.3249108835
143	0.3230228391
144	0.3219547092
145	0.3211076516
146	0.3193786911
147	0.3178416108
148	0.3169594151
149	0.3161595745
150	0.3150826701
151	0.313734781
152	0.3126546279
153	0.3116493115
154	0.3106250098
155	0.3093363463
156	0.3076570532
157	0.3065987052
158	0.3048260892
159	0.3036284527
160	0.3023979026
161	0.3007924311
162	0.2994550629
163	0.2987356119
164	0.2976410593
165	0.2965487248
166	0.2952628754
167	0.2936688604
168	0.292182153
169	0.2908712321
170	0.2900622108
171	0.2892991547
172	0.2883171544
173	0.2870967937
174	0.286443703
175	0.2851282658
176	0.2842597426
177	0.2833765369
178	0.2823317252
179	0.2813162802
180	0.2805629837
181	0.2794546061
182	0.2784198863
183	0.2777399051
184	0.2768142792
185	0.2760788717
186	0.2749851016
187	0.2737587703
188	0.2727842116
189	0.2717839363
